Time [s]	Pressure [MPa]
0.	0.
20.0295E-06	0.
40.059E-06	0.
60.0884E-06	0.
80.1177E-06	0.
100.147E-06	0.
120.176E-06	0.
140.206E-06	0.
160.008E-06	0.
180.037E-06	0.
200.066E-06	0.
220.096E-06	0.
240.125E-06	0.
260.155E-06	0.
280.186E-06	0.
300.217E-06	0.
320.02E-06	0.
340.05E-06	0.
360.081E-06	0.
380.112E-06	0.
400.142E-06	0.
420.173E-06	0.
440.204E-06	0.
460.007E-06	0.
480.037E-06	0.
500.067E-06	0.
520.095E-06	0.
540.123E-06	0.
560.151E-06	0.
580.179E-06	0.
600.207E-06	0.
620.008E-06	0.
640.036E-06	0.
660.064E-06	0.
680.092E-06	0.
700.12E-06	0.
720.148E-06	0.
740.176E-06	0.
760.204E-06	0.
780.005E-06	0.
800.033E-06	0.
820.061E-06	0.
840.089E-06	0.
860.117E-06	0.
880.145E-06	0.
900.173E-06	0.
920.201E-06	0.
940.002E-06	0.
960.03E-06	0.
980.058E-06	0.
1.00009E-03	0.
1.02011E-03	0.
1.04014E-03	0.
1.06017E-03	0.
1.0802E-03	0.
1.10023E-03	0.
1.12003E-03	0.
1.14006E-03	0.
1.16008E-03	0.
1.18011E-03	0.
1.20014E-03	0.
1.22017E-03	0.
1.2402E-03	0.
1.26022E-03	0.
1.28002E-03	0.
1.30005E-03	0.
1.32008E-03	0.
1.34011E-03	0.
1.36014E-03	0.
1.38016E-03	0.
1.40019E-03	0.
1.42022E-03	0.
1.44002E-03	0.
1.46005E-03	0.
1.48008E-03	0.
1.50011E-03	0.
1.52013E-03	0.
1.54016E-03	0.
1.56019E-03	0.
1.58022E-03	0.
1.60002E-03	0.
1.62005E-03	0.
1.64007E-03	0.
1.6601E-03	0.
1.68013E-03	0.
1.70016E-03	0.
1.72019E-03	0.
1.74022E-03	0.
1.76002E-03	0.
1.78004E-03	0.
1.80007E-03	0.
1.8201E-03	0.
1.84013E-03	0.
1.86016E-03	0.
1.88018E-03	0.
1.90021E-03	0.
1.92001E-03	0.
1.94004E-03	0.
1.96007E-03	0.
1.98011E-03	0.
2.00015E-03	0.
2.02019E-03	0.
2.04023E-03	0.
2.06004E-03	0.
2.08008E-03	0.
2.10011E-03	0.
2.12015E-03	0.
2.14019E-03	0.
2.16E-03	0.
2.18004E-03	0.
2.20008E-03	0.
2.22012E-03	0.
2.24015E-03	0.
2.26019E-03	0.
2.28E-03	0.
2.30004E-03	0.
2.32008E-03	0.
2.34012E-03	0.
2.36016E-03	0.
2.38019E-03	0.
2.40001E-03	0.
2.42004E-03	0.
2.44008E-03	0.
2.46012E-03	0.
2.48016E-03	0.
2.5002E-03	0.
2.52001E-03	0.
2.54005E-03	0.
2.56008E-03	0.
2.58012E-03	0.
2.60016E-03	0.
2.6202E-03	0.
2.64001E-03	0.
2.66005E-03	0.
2.68009E-03	0.
2.70012E-03	0.
2.72016E-03	0.
2.7402E-03	0.
2.76001E-03	0.
2.78005E-03	0.
2.80009E-03	0.
2.82013E-03	0.
2.84017E-03	0.
2.8602E-03	0.
2.88001E-03	0.
2.90005E-03	0.
2.92009E-03	0.
2.94013E-03	0.
2.96017E-03	0.
2.98021E-03	0.
3.00002E-03	0.
3.02006E-03	0.
3.04009E-03	0.
3.06013E-03	0.
3.08017E-03	0.
3.10021E-03	0.
3.12002E-03	0.
3.14006E-03	0.
3.1601E-03	0.
3.18013E-03	0.
3.20017E-03	0.
3.22021E-03	0.
3.24002E-03	0.
3.26006E-03	0.
3.2801E-03	0.
3.30014E-03	0.
3.32017E-03	0.
3.34021E-03	0.
3.36002E-03	0.
3.38006E-03	0.
3.4001E-03	0.
3.42014E-03	0.
3.44018E-03	0.
3.46022E-03	0.
3.48003E-03	0.
3.50006E-03	0.
3.5201E-03	0.
3.54014E-03	0.
3.56018E-03	0.
3.58022E-03	0.
3.60003E-03	0.
3.62007E-03	0.
3.64011E-03	0.
3.66014E-03	0.
3.68018E-03	0.
3.70022E-03	0.
3.72003E-03	0.
3.74007E-03	0.
3.76011E-03	0.
3.78015E-03	0.
3.80018E-03	0.
3.82022E-03	0.
3.84003E-03	0.
3.86007E-03	0.
3.88011E-03	0.
3.90015E-03	0.
3.92019E-03	0.
3.94022E-03	0.
3.96004E-03	0.
3.98007E-03	0.
4.00011E-03	0.
4.02015E-03	0.
4.04019E-03	0.
4.06023E-03	0.
4.08004E-03	0.
4.10008E-03	0.
4.12011E-03	0.
4.14015E-03	0.
4.16019E-03	0.
4.18E-03	0.
4.20004E-03	0.
4.22008E-03	0.
4.24012E-03	0.
4.26015E-03	0.
4.28019E-03	0.
4.3E-03	0.
4.32004E-03	0.
4.34008E-03	0.
4.36012E-03	0.
4.38016E-03	0.
4.4002E-03	0.
4.42001E-03	0.
4.44004E-03	0.
4.46008E-03	0.
4.48012E-03	0.
4.50016E-03	0.
4.5202E-03	0.
4.54001E-03	0.
4.56005E-03	0.
4.58009E-03	0.
4.60012E-03	0.
4.62016E-03	0.
4.6402E-03	0.
4.66001E-03	0.
4.68005E-03	0.
4.70009E-03	0.
4.72013E-03	0.
4.74016E-03	0.
4.7602E-03	0.
4.78001E-03	0.
4.80005E-03	0.
4.82009E-03	0.
4.84013E-03	0.
4.86017E-03	0.
4.8802E-03	0.
4.90002E-03	0.
4.92005E-03	0.
4.94009E-03	0.
4.96013E-03	0.
4.98017E-03	0.
5.00021E-03	0.
5.02002E-03	0.
5.04006E-03	0.
5.06009E-03	0.
5.08013E-03	0.
5.10017E-03	0.
5.12021E-03	0.
5.14002E-03	0.
5.16006E-03	0.
5.1801E-03	0.
5.20014E-03	0.
5.22017E-03	0.
5.24021E-03	0.
5.26002E-03	0.
5.28006E-03	0.
5.3001E-03	0.
5.32014E-03	0.
5.34018E-03	0.
5.36021E-03	0.
5.38002E-03	0.
5.40006E-03	0.
5.4201E-03	0.
5.44014E-03	0.
5.46018E-03	0.
5.48022E-03	0.
5.50003E-03	0.
5.52007E-03	0.
5.5401E-03	0.
5.56014E-03	0.
5.58018E-03	0.
5.60022E-03	0.
5.62003E-03	0.
5.64007E-03	0.
5.66011E-03	0.
5.68014E-03	0.
5.70018E-03	0.
5.72022E-03	0.
5.74003E-03	0.
5.76007E-03	0.
5.78011E-03	0.
5.80015E-03	0.
5.82018E-03	0.
5.84022E-03	0.
5.86003E-03	0.
5.88007E-03	0.
5.90011E-03	0.
5.92015E-03	0.
5.94019E-03	0.
5.96023E-03	0.
5.98004E-03	0.
6.00007E-03	0.
6.02011E-03	0.
6.04015E-03	0.
6.06019E-03	0.
6.08E-03	0.
6.10004E-03	0.
6.12008E-03	0.
6.14012E-03	0.
6.16015E-03	0.
6.18019E-03	0.
6.2E-03	0.
6.22004E-03	0.
6.24008E-03	0.
6.26012E-03	0.
6.28016E-03	0.
6.30019E-03	0.
6.32E-03	0.
6.34004E-03	0.
6.36008E-03	0.
6.38012E-03	0.
6.40016E-03	0.
6.4202E-03	0.
6.44001E-03	0.
6.46005E-03	0.
6.48008E-03	0.
6.50012E-03	0.
6.52016E-03	0.
6.5402E-03	0.
6.56001E-03	0.
6.58005E-03	0.
6.60009E-03	0.
6.62012E-03	0.
6.64016E-03	0.
6.6602E-03	0.
6.68001E-03	0.
6.70005E-03	0.
6.72009E-03	0.
6.74013E-03	0.
6.76017E-03	0.
6.7802E-03	0.
6.80001E-03	0.
6.82005E-03	0.
6.84009E-03	0.
6.86013E-03	0.
6.88017E-03	0.
6.90021E-03	0.
6.92002E-03	0.
6.94005E-03	0.
6.96009E-03	0.
6.98013E-03	0.
7.00017E-03	0.
7.02021E-03	0.
7.04002E-03	0.
7.06006E-03	0.
7.0801E-03	0.
7.10013E-03	0.
7.12017E-03	0.
7.14021E-03	0.
7.16002E-03	0.
7.18006E-03	0.
7.2001E-03	0.
7.22014E-03	0.
7.24017E-03	0.
7.26021E-03	0.
7.28002E-03	0.
7.30006E-03	0.
7.3201E-03	0.
7.34014E-03	0.
7.36018E-03	0.
7.38022E-03	0.
7.40003E-03	0.
7.42006E-03	0.
7.4401E-03	0.
7.46014E-03	0.
7.48018E-03	0.
7.50022E-03	0.
7.52003E-03	0.
7.54007E-03	0.
7.5601E-03	0.
7.58014E-03	0.
7.60018E-03	0.
7.62022E-03	0.
7.64003E-03	0.
7.66007E-03	0.
7.68011E-03	0.
7.70015E-03	0.
7.72018E-03	0.
7.74022E-03	0.
7.76003E-03	0.
7.78007E-03	0.
7.80011E-03	0.
7.82013E-03	0.
7.84013E-03	0.
7.86013E-03	0.
7.88012E-03	0.
7.90012E-03	0.
7.92012E-03	0.
7.94012E-03	0.
7.96011E-03	0.
7.98011E-03	0.
8.00011E-03	0.
8.02011E-03	0.
8.0401E-03	0.
8.0601E-03	0.
8.0801E-03	0.
8.10009E-03	0.
8.12009E-03	0.
8.14009E-03	0.
8.16009E-03	0.
8.18008E-03	0.
8.20008E-03	0.
8.22008E-03	0.
8.24008E-03	0.
8.26007E-03	0.
8.28007E-03	0.
8.30007E-03	0.
8.32007E-03	0.
8.34006E-03	0.
8.36006E-03	0.
8.38006E-03	0.
